tag,description,unit,nominal,normal_lo,normal_hi,LL,L,H,HH,drift_level,noise_level,links,source
TI-101,외기 온도,℃,28.5,10,35,-5,0,35,40,1,1,,assumed
MI-102,외기 습도,%,68.5,30,85,,20,85,95,1,1,,assumed
TT-03,원수 수온,℃,18,8,28,2,5,30,33,2,1,"VPT-01:-0.45:600, CI-904:-0.30:300",assumed
TUR-02,원수 탁도,NTU,3.5,1,8,,0.5,12,20,2,2,"CI-904:0.55:60, VPT-01:0.30:1800",assumed
FI-101,원수 유량 (10-S8445-01),m3/h,180,150,200,100,130,200,210,1,2,"PDI-101:-0.35, LT-01:0.50:120",assumed
PDI-101,Strainer 차압 (10-S8445-01),bar,0.15,0.08,0.3,,,0.45,0.6,2,2,FI-101:-0.30,assumed
FI-102,Cation Resin 처리 유량 (10-S8446-01A/B),m3/h,11,8,13,5,7,13,14,1,2,,assumed
PH-01,전처리 pH,,7.2,6.8,7.6,6,6.5,8,8.5,1,2,"CI-901:-0.50:120, CI-903:0.50:120",spec_tag
LT-01,Distribution Channel 수위 (10-D8499-01B),%,62,45,80,20,30,85,92,1,1,FI-201:0.45:60,spec_tag
VPT-01,흡인압 / TMP,kPa,104,95,115,,90,125,140,3,1,"JI-201A:0.60, FI-201:-0.45:60",spec_value
TUR-01,투과수 탁도,NTU,0.045,0.01,0.09,,,0.1,0.3,1,2,AT-01:0.35:60,spec_value
AT-01,여과수 전도도,uS/cm,145,120,180,,,220,280,2,1,,spec_tag
LT-02,막조 수위 (10-D8499-02A/B/C),%,72,60,85,35,50,90,95,1,1,FI-201:-0.35:30,spec_tag
FI-201,투과수 유량 (3계열 합산),m3/h,300,260,330,180,230,336,350,2,2,"JI-201A:0.70, LT-03A:0.40:180",assumed
JI-201A,Process Pump A 전력 (10-P8469-01A),kW,9.2,7.5,10.5,,6.5,11,12,1,2,,assumed
JI-201B,Process Pump B 전력 (10-P8469-01B),kW,9.2,7.5,10.5,,6.5,11,12,1,2,,assumed
JI-201C,Process Pump C 전력 (10-P8469-01C),kW,9.2,7.5,10.5,,6.5,11,12,1,2,,assumed
ZI-201A,Process Pump A 인버터 주파수 (10-P8469-01A),%,68,50,85,,40,92,97,1,1,"JI-201A:0.85, FI-201:0.60",assumed
ZI-201B,Process Pump B 인버터 주파수 (10-P8469-01B),%,68,50,85,,40,92,97,1,1,JI-201B:0.85,assumed
ZI-201C,Process Pump C 인버터 주파수 (10-P8469-01C),%,68,50,85,,40,92,97,1,1,JI-201C:0.85,assumed
PI-202A,Blower A 토출압 (10-C8461-01A),kPa,35,30,40,22,26,45,52,1,2,FI-202A:0.75,assumed
PI-202B,Blower B 토출압 (10-C8461-01B),kPa,35,30,40,22,26,45,52,1,2,FI-202B:0.75,assumed
FI-202A,Blower A 공기량 (10-C8461-01A),Nm3/h,833,750,900,600,680,920,980,1,2,VPT-01:-0.30:600,assumed
FI-202B,Blower B 공기량 (10-C8461-01B),Nm3/h,833,750,900,600,680,920,980,1,2,VPT-01:-0.30:600,assumed
JI-202A,Blower A 전력 (10-C8461-01A),kW,16,13,18,,11,18.5,20,1,2,PI-202A:0.70,assumed
JI-202B,Blower B 전력 (10-C8461-01B),kW,16,13,18,,11,18.5,20,1,2,PI-202B:0.70,assumed
FI-203A,Drain Pump A 유량 (10-P8469-02A),m3/h,10,6,12,,3,12,13,1,2,,assumed
FI-203B,Drain Pump B 유량 (10-P8469-02B),m3/h,10,6,12,,3,12,13,1,2,,assumed
FI-203C,Drain Pump C 유량 (10-P8469-02C),m3/h,10,6,12,,3,12,13,1,2,,assumed
LT-03A,여과수 탱크 A 수위 (10-D8499-03A),%,65,40,85,15,25,90,95,2,1,FI-301A:-0.55:60,spec_tag
LT-03B,여과수 탱크 B 수위 (10-D8499-03B),%,65,40,85,15,25,90,95,2,1,FI-301B:-0.55:60,spec_tag
FI-301A,Transfer Pump A 유량 (10-P8469-03A),m3/h,150,120,170,80,100,172,180,2,2,"PI-301:0.65, JI-301A:0.80, FI-302:0.50",assumed
FI-301B,Transfer Pump B 유량 (10-P8469-03B),m3/h,150,120,170,80,100,172,180,2,2,"PI-301:0.65, JI-301B:0.80",assumed
PI-301,여과수 공급 압력,bar,8.8,8.2,9.3,7,7.8,9.6,10.2,2,2,,assumed
JI-301A,Transfer Pump A 전력 (10-P8469-03A),kW,62,50,70,,42,75,82,1,2,,assumed
JI-301B,Transfer Pump B 전력 (10-P8469-03B),kW,62,50,70,,42,75,82,1,2,,assumed
TT-01,"CIP 세정온도 (10-D8499-04, 세정 중에만 유효)",℃,98,92,103,,88,105,110,2,2,,spec_value
AT-02,CIP 폐수 pH,,7,6,8.5,4,5.5,9.5,11,2,2,AT-03:-0.40:60,spec_tag
AT-03,CIP 폐수 ORP,mV,250,150,400,,80,600,750,2,2,,spec_tag
LT-04,CIP Tank 수위 (10-D8499-04),%,55,30,80,10,20,90,95,2,1,TT-01:0.25,assumed
LT-06,WW Transfer Tank 수위,%,45,20,75,5,10,85,92,2,1,FI-203A:0.40:180,spec_tag
AT-06,중화조 pH,,7.2,6.5,8,5,6,8.8,9.5,2,2,"CI-903:0.60:90, CI-901:-0.60:90, PH-02:0.75:300",spec_tag
LT-08,Clarifier 상등수 수위 (10-D8299-06),%,70,55,85,,45,90,95,1,1,"FI-601:-0.45:120, FI-603:-0.35:120",spec_tag
TUR-03,Clarifier 상등수 탁도 (10-D8299-06),NTU,4,1,10,,,15,25,2,2,"CI-909:-0.50:180, QI-802:0.70:240",assumed
FI-601,상등수 재이용 유량,m3/h,18,10,28,,5,35,42,2,2,,assumed
CI-901,H2SO4 주입률 (10-CP8496-01A/B),L/h,4.5,2,8,,,12,16,1,2,,assumed
CI-902,NaOCl 12.6% 주입률 (10-CP8496-02A/B),L/h,6,3,10,,,14,18,1,2,,assumed
CI-903,NaOH 5% 주입률,L/h,5,2,9,,,13,17,1,2,,assumed
CI-904,Coagulant 주입률,L/h,9,5,15,,,20,26,2,2,,assumed
CI-905,SBS 38% 주입률,L/h,3.2,1,6,,,9,12,1,2,AT-03:-0.55:60,assumed
CI-907,Antiscalant 주입률,L/h,2.4,1,4.5,,,6,8,1,1,,assumed
CI-908,동부식방지제 주입률,L/h,1.8,0.8,3.5,,,5,6.5,1,1,,assumed
CI-909,Polymer 주입률,L/h,2.8,1,5,,,7,9,1,2,,assumed
FI-302,냉각탑 공급 유량,m3/h,55,35,80,15,25,90,100,2,2,"AT-04:-0.40:300, LT-03A:-0.45:120",spec_tag
FI-303,Fab 공급 유량,m3/h,95,70,120,40,55,130,145,1,2,LT-03B:-0.45:120,spec_tag
AT-04,냉각탑 순환수 전도도 (농축배수 관리),uS/cm,1200,800,1800,,600,2200,2800,2,2,FI-602:0.65:600,assumed
TT-02,냉각탑 출구 수온,℃,32,25,38,15,20,42,46,2,2,AT-04:0.30:900,assumed
FI-602,냉각탑 B/D 유량,m3/h,8,4,14,,2,20,26,1,2,LT-07:0.55:120,spec_tag
LT-07,냉각탑 B/D 집수조 수위,%,48,25,75,8,15,85,92,2,1,LT-06:0.50:300,assumed
PH-02,방류수 pH (TMS · 실설비 확인 필요),,7.3,6.5,8.2,5.5,6,8.6,9,1,2,,assumed
QI-801,방류수 TOC (TMS · 실설비 확인 필요),mg/L,8,3,15,,,25,40,2,2,,assumed
QI-802,방류수 SS (TMS · 실설비 확인 필요),mg/L,6,2,12,,,20,30,2,2,,assumed
QI-803,방류수 T-N (TMS · 실설비 확인 필요),mg/L,12,5,20,,,30,45,1,2,,assumed
QI-804,방류수 T-P (TMS · 실설비 확인 필요),mg/L,0.6,0.2,1.2,,,2,3,1,2,,assumed
FI-603,방류 유량 (TMS · 실설비 확인 필요),m3/h,12,5,22,,2,30,38,2,2,,assumed
