"Timestamp","안건 1 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 2 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 3 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 4 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 5 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","ENGRA 를 써 보니 어떠셨습니까?","안건 1 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 2 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 3 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 4 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 5 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","ENGRA 를 써 보니 어떠셨습니까?","안건 1 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 2 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 3 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 4 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 5 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","ENGRA 를 써 보니 어떠셨습니까?","안건 1 — 최종 인수인계서로 넘기시겠습니까?","안건 1 — 그렇게 판단하신 이유 (선택)","안건 2 — 최종 인수인계서로 넘기시겠습니까?","안건 2 — 그렇게 판단하신 이유 (선택)","안건 3 — 최종 인수인계서로 넘기시겠습니까?","안건 3 — 그렇게 판단하신 이유 (선택)","안건 4 — 최종 인수인계서로 넘기시겠습니까?","안건 4 — 그렇게 판단하신 이유 (선택)","안건 5 — 최종 인수인계서로 넘기시겠습니까?","안건 5 — 그렇게 판단하신 이유 (선택)","ENGRA 를 써 보니 어떠셨습니까? 자유롭게 적어 주세요."
"9/14/2026 14:26:32","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","네. 실제 현업과 유사하게 반영한 것 같습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:27:50","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","운전할 때 운전하느랴, 인수인계 이벤트 쓰느랴 바쁠 때가 있는데 이게 있다면 수월 할 것 같습니다. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:31:24","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","초안이 대중의 트렌드를 십분 최신반영한 것 같아요 
하루빨리 실무진들에게 적용되어서 업무에 적용이 되었으면 좋겠네요.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:31:44","채택한다","편할거같다","채택한다","편할거같다","채택한다","편할거같다","채택한다","편할거같다","채택한다","편할거같다","좋을거같다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:33:50","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","업무에 도움이 된다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:34:36","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","실제로 사용하겠습니다 사용하기 매우 편리합니다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:36:28","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","시각적으로 보기 편해서 한눈에 보기 쉽고 즉각 대응할 수 있다는 점에서 필요하다고 느껴지네요! 놓칠수 있는 부분까지 알아서 보여주니까 신뢰감 있는 자료로 다가와집니다. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:37:07","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","해당 안건 업무에 있어 많은 도움이 될 것 같아 긍정적으로 검토 부탁드리겠습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:39:25","채택한다","","채택한다","","채택 안한다","","채택한다","","채택한다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:39:54","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","편리하여 운전 집중도를 항샹시키는데 도움될것 같습니다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
